year,tech_company,employer_benefits,know_options,employer_discussed_benefits,employer_resources,anonymity,difficulty_leave,comfortable_discussing,employer_discussed_issues,physical_importance,mental_importance,industry_support,age,gender,country
2017,TRUE,No,Yes,No,I don't know,I don't know,I don't know,Yes,FALSE,6,0,1,27,F,United Kingdom
2017,TRUE,Yes,Yes,No,No,I don't know,I don't know,Maybe,FALSE,7,2,2,31,M,United Kingdom
2017,TRUE,I don't know,No,I don't know,No,Yes,Difficult,Yes,TRUE,0,1,1,36,M,United States of America
2017,TRUE,Yes,Yes,I don't know,I don't know,Yes,Difficult,Yes,TRUE,7,5,2,22,M,United States of America
2017,TRUE,Yes,No,No,I don't know,Yes,Somewhat easy,Maybe,FALSE,9,5,2,30,M,United States of America
2017,TRUE,Yes,Yes,No,No,Yes,Very easy,Yes,FALSE,10,10,2,36,F,United States of America
2017,TRUE,Yes,No,No,No,I don't know,Somewhat easy,Yes,FALSE,10,8,2,38,F,United States of America
2017,FALSE,I don't know,No,No,No,Yes,Very easy,Maybe,FALSE,9,7,2,35,M,Switzerland
2017,FALSE,Yes,Yes,No,No,I don't know,I don't know,No,TRUE,1,0,1,40,M,United States of America
2017,TRUE,I don't know,No,No,I don't know,I don't know,Difficult,Maybe,FALSE,5,3,1,35,M,United States of America
2017,TRUE,No,No,No,No,I don't know,Neither easy nor difficult,Maybe,TRUE,7,7,4,23,M,Russia
2017,TRUE,I don't know,No,No,I don't know,I don't know,Neither easy nor difficult,Maybe,FALSE,3,2,3,22,F,United States of America
2017,TRUE,I don't know,N/A,I don't know,I don't know,Yes,Very easy,Maybe,TRUE,5,5,3,34,F,United States of America
2017,FALSE,Yes,No,No,I don't know,I don't know,Somewhat easy,Yes,FALSE,8,3,4,28,M,United States of America
2017,FALSE,No,No,No,No,Yes,Neither easy nor difficult,Yes,FALSE,9,9,5,38,M,Bangladesh
2017,TRUE,I don't know,No,No,No,I don't know,Somewhat easy,Maybe,FALSE,4,3,3,21,M,Germany
2017,FALSE,I don't know,No,No,I don't know,I don't know,Neither easy nor difficult,Maybe,FALSE,4,3,3,35,F,United Kingdom
2017,TRUE,No,No,No,No,I don't know,Neither easy nor difficult,No,FALSE,2,2,2,22,M,United Kingdom
2017,FALSE,Not eligible for coverage / NA,N/A,Yes,Yes,Yes,Somewhat difficult,Yes,FALSE,7,7,3,18,M,United Kingdom
2017,FALSE,I don't know,No,No,No,I don't know,Difficult,Yes,TRUE,8,2,1,37,F,United States of America
2017,TRUE,No,N/A,No,No,I don't know,Difficult,Maybe,TRUE,6,7,3,25,M,United Kingdom
2017,TRUE,No,No,Yes,No,I don't know,I don't know,No,FALSE,10,5,3,40,M,Canada
2017,TRUE,No,No,No,No,Yes,Very easy,Yes,FALSE,7,0,2,33,M,Israel
2017,FALSE,Yes,No,No,I don't know,I don't know,Somewhat difficult,No,FALSE,5,5,2,66,F,United States of America
