year,tech_company,employer_benefits,know_options,employer_discussed_benefits,employer_resources,anonymity,difficulty_leave,comfortable_discussing,employer_discussed_issues,physical_importance,mental_importance,industry_support,age,gender,country
2017,FALSE,Yes,Yes,No,No,I don't know,Somewhat easy,Maybe,FALSE,5,2,3,31,F,United States of America
2017,FALSE,Yes,Yes,Yes,Yes,Yes,Neither easy nor difficult,Maybe,FALSE,7,6,4,32,M,Canada
2017,TRUE,Yes,Yes,I don't know,No,I don't know,Somewhat difficult,No,FALSE,5,5,3,30,F,United States of America
2017,TRUE,Yes,Yes,No,No,Yes,Very easy,Maybe,TRUE,5,5,4,31,M,United States of America
2017,TRUE,Not eligible for coverage / NA,N/A,No,No,I don't know,Somewhat easy,Maybe,TRUE,5,2,2,46,M,Iceland
2017,FALSE,Not eligible for coverage / NA,No,No,I don't know,I don't know,I don't know,Maybe,FALSE,2,2,3,28,F,United States of America
2017,FALSE,No,No,No,No,I don't know,Difficult,No,FALSE,5,3,1,34,F,Japan
2017,TRUE,Yes,Yes,No,No,No,Difficult,Yes,FALSE,10,0,3,25,M,United States of America
2017,FALSE,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,FALSE,7,5,2,35,M,United States of America
2017,TRUE,Yes,Yes,No,I don't know,I don't know,Somewhat easy,Yes,TRUE,7,5,3,40,M,United States of America
2017,FALSE,I don't know,No,No,I don't know,I don't know,Very easy,Yes,TRUE,5,5,2,32,M,United States of America
2017,FALSE,I don't know,No,No,I don't know,I don't know,Neither easy nor difficult,No,FALSE,4,2,2,39,M,United States of America
2017,TRUE,Yes,Yes,I don't know,I don't know,I don't know,I don't know,Maybe,FALSE,9,9,4,33,M,United States of America
2017,TRUE,Yes,Yes,Yes,Yes,Yes,Very easy,No,FALSE,8,8,4,40,M,United States of America
2017,TRUE,Yes,No,No,I don't know,Yes,Very easy,Yes,TRUE,5,4,3,42,M,United States of America
2017,FALSE,I don't know,No,I don't know,I don't know,I don't know,Difficult,No,TRUE,5,5,3,32,M,United States of America
2017,FALSE,Yes,Yes,No,Yes,No,Somewhat difficult,No,TRUE,8,0,3,27,F,United States of America
2017,FALSE,No,N/A,No,No,No,Difficult,No,FALSE,4,3,2,30,F,Indonesia
2017,FALSE,I don't know,No,No,No,I don't know,Difficult,Maybe,FALSE,0,0,2,39,M,United States of America
2017,TRUE,Yes,No,No,I don't know,I don't know,I don't know,No,FALSE,6,7,3,42,F,United States of America
2017,TRUE,Yes,Yes,Yes,No,Yes,Somewhat easy,Yes,TRUE,10,8,3,37,NB,Canada
2017,FALSE,I don't know,Yes,No,I don't know,I don't know,Difficult,No,TRUE,6,2,2,38,F,United States of America
2017,TRUE,I don't know,No,I don't know,I don't know,I don't know,Very easy,Maybe,FALSE,8,7,4,47,M,United Kingdom
2017,TRUE,I don't know,No,Yes,Yes,I don't know,Somewhat difficult,No,FALSE,5,2,3,64,M,United Kingdom
2017,FALSE,No,Yes,No,No,I don't know,Somewhat difficult,No,FALSE,8,3,2,28,M,Canada
2017,TRUE,Yes,Yes,Yes,I don't know,Yes,Very easy,Maybe,FALSE,7,7,2,37,M,United Kingdom
2017,TRUE,Yes,Yes,Yes,Yes,I don't know,Very easy,Yes,TRUE,9,9,4,30,F,United Kingdom
2017,FALSE,I don't know,No,No,No,I don't know,Somewhat easy,Yes,FALSE,5,5,3,25,M,United Kingdom
2017,TRUE,No,N/A,No,Yes,Yes,Very easy,Maybe,FALSE,10,10,3,25,F,United Kingdom
2017,TRUE,Yes,Yes,Yes,Yes,I don't know,Neither easy nor difficult,Yes,TRUE,5,6,3,61,M,United Kingdom
2017,TRUE,No,No,No,No,I don't know,I don't know,Maybe,FALSE,8,4,3,26,M,India
2017,FALSE,Yes,Yes,Yes,Yes,I don't know,Neither easy nor difficult,No,TRUE,2,2,2,44,F,United States of America
2017,TRUE,No,No,No,No,I don't know,I don't know,Yes,FALSE,0,0,2,26,M,Portugal
2017,TRUE,Yes,No,No,No,I don't know,Somewhat easy,Yes,TRUE,9,7,3,26,F,Portugal
2017,TRUE,I don't know,No,No,I don't know,Yes,Neither easy nor difficult,Yes,FALSE,7,5,4,35,F,United States of America
2017,TRUE,Yes,Yes,No,No,I don't know,Very easy,Maybe,FALSE,5,2,1,45,M,United States of America
2017,TRUE,I don't know,No,No,No,I don't know,Somewhat easy,Yes,FALSE,3,2,3,23,M,United States of America
2017,FALSE,Yes,Yes,I don't know,I don't know,I don't know,Somewhat easy,Yes,FALSE,7,5,3,44,M,United States of America
2017,FALSE,Yes,No,Yes,Yes,Yes,Neither easy nor difficult,Yes,FALSE,5,5,3,38,M,United States of America
2017,FALSE,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Yes,TRUE,8,8,2,46,M,United States of America
2017,FALSE,Yes,No,Yes,I don't know,I don't know,Somewhat difficult,Maybe,TRUE,5,5,2,27,NB,United States of America
2017,FALSE,Yes,Yes,I don't know,Yes,Yes,Difficult,Maybe,TRUE,7,2,2,39,F,United States of America
2017,TRUE,I don't know,No,No,No,I don't know,I don't know,No,FALSE,10,2,1,33,F ,United States of America
2017,FALSE,Not eligible for coverage / NA,N/A,No,No,I don't know,Difficult,No,FALSE,9,4,1,35,M,United Kingdom
2017,TRUE,No,No,No,No,I don't know,Neither easy nor difficult,No,TRUE,7,3,3,32,M,Germany
2017,TRUE,Yes,Yes,I don't know,No,I don't know,Somewhat easy,No,TRUE,5,5,2,26,F,United States of America
2017,TRUE,Yes,Yes,No,I don't know,I don't know,Somewhat difficult,Maybe,FALSE,4,3,2,50,M,United States of America
2017,TRUE,I don't know,Yes,I don't know,I don't know,I don't know,Somewhat easy,Yes,FALSE,9,8,4,31,M,United States of America
2017,TRUE,I don't know,No,Yes,I don't know,I don't know,Somewhat difficult,Maybe,FALSE,8,3,2,46,M,Romania
2017,TRUE,Yes,No,No,No,Yes,Somewhat easy,No,FALSE,7,4,2,30,M,United States of America
2017,TRUE,Yes,No,No,I don't know,I don't know,Somewhat difficult,Maybe,FALSE,8,5,2,30,M,United States of America
2017,TRUE,No,No,No,No,I don't know,Neither easy nor difficult,Yes,TRUE,8,4,3,34,M,Germany
2017,FALSE,Yes,Yes,Yes,Yes,Yes,Difficult,No,FALSE,8,4,1,42,M,United Kingdom
2017,TRUE,Yes,Yes,Yes,Yes,No,Somewhat difficult,Maybe,TRUE,8,6,3,24,F,United States of America
2017,TRUE,Yes,Yes,Yes,I don't know,I don't know,Somewhat easy,Maybe,TRUE,8,7,4,23,M,Canada
2017,TRUE,Yes,Yes,No,No,I don't know,Somewhat easy,No,FALSE,10,6,2,31,F,United States of America
2017,TRUE,No,No,No,No,I don't know,I don't know,No,FALSE,2,6,3,31,M,Finland
2017,TRUE,Yes,Yes,No,I don't know,I don't know,Somewhat easy,Maybe,TRUE,5,4,2,27,F,United States of America
2017,FALSE,Yes,Yes,No,Yes,I don't know,Somewhat difficult,Maybe,FALSE,10,1,2,52,F,United States of America
2017,TRUE,No,No,No,I don't know,I don't know,I don't know,No,FALSE,4,5,2,37,M,United States of America
2017,FALSE,No,N/A,Yes,Yes,No,Somewhat easy,Maybe,FALSE,6,7,3,37,M,Canada
2017,FALSE,Yes,Yes,No,No,Yes,Very easy,Yes,FALSE,8,4,2,38,M,United States of America
2017,TRUE,Yes,Yes,I don't know,I don't know,I don't know,Somewhat easy,Yes,TRUE,7,5,4,34,M,United States of America
2017,TRUE,Yes,Yes,No,Yes,I don't know,Difficult,No,FALSE,5,5,1,38,F,Germany
2017,TRUE,I don't know,No,No,I don't know,Yes,Neither easy nor difficult,Maybe,FALSE,4,5,2,30,M,United States of America
2017,FALSE,Yes,Yes,Yes,I don't know,Yes,Somewhat easy,No,FALSE,8,7,2,52,M,United States of America
2017,TRUE,I don't know,No,No,No,I don't know,Difficult,No,FALSE,1,1,2,26,F,United Kingdom
2017,FALSE,Yes,No,No,No,Yes,Somewhat difficult,Yes,FALSE,7,5,4,29,F,United States of America
2017,TRUE,Yes,Yes,No,No,Yes,I don't know,Yes,TRUE,8,5,2,44,M,United States of America
2017,TRUE,Not eligible for coverage / NA,N/A,Yes,I don't know,Yes,Very easy,Yes,TRUE,7,7,1,42,M,Australia
2017,FALSE,Yes,Yes,No,No,Yes,Somewhat easy,No,FALSE,7,6,3,30,M,United States of America
2017,TRUE,Yes,No,Yes,Yes,I don't know,Very easy,Yes,TRUE,6,7,2,29,M,United States of America
2017,TRUE,Yes,Yes,Yes,Yes,I don't know,Neither easy nor difficult,Yes,TRUE,7,4,3,27,F,United States of America
2017,TRUE,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,TRUE,9,7,3,39,M,United States of America
2017,TRUE,Yes,Yes,Yes,No,Yes,Very easy,Yes,TRUE,5,5,2,40,F,United States of America
2017,TRUE,Yes,Yes,Yes,Yes,Yes,I don't know,Maybe,FALSE,7,4,4,36,F,United States of America
2017,TRUE,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Yes,FALSE,7,7,3,43,M,United States of America
2017,TRUE,Yes,Yes,I don't know,Yes,Yes,Neither easy nor difficult,Maybe,TRUE,8,6,2,38,M,United States of America
2017,TRUE,I don't know,No,No,No,I don't know,Somewhat easy,Yes,FALSE,6,6,3,42,M,United States of America
2017,TRUE,No,N/A,Yes,Yes,Yes,Neither easy nor difficult,Maybe,TRUE,8,5,1,46,M,United Kingdom
2017,FALSE,Yes,Yes,No,Yes,Yes,Difficult,No,FALSE,5,7,3,30,M,United States of America
2017,FALSE,No,Yes,No,No,No,Difficult,No,FALSE,4,0,3,25,M,United Kingdom
2017,TRUE,Yes,Yes,Yes,Yes,Yes,Very easy,Maybe,FALSE,9,9,3,28,NB,Canada
2017,TRUE,Yes,Yes,No,No,I don't know,Neither easy nor difficult,Maybe,FALSE,5,5,2,24,F,Germany
2017,TRUE,I don't know,No,No,No,I don't know,Difficult,Yes,FALSE,3,6,4,26,M,United Kingdom
2017,TRUE,Yes,Yes,No,Yes,I don't know,Somewhat easy,Maybe,FALSE,5,1,2,43,M,United States of America
2017,FALSE,Yes,Yes,No,Yes,I don't know,I don't know,No,FALSE,8,5,2,25,F,United States of America
2017,FALSE,Yes,No,Yes,I don't know,I don't know,I don't know,No,FALSE,7,6,3,34,M,United States of America
2017,TRUE,Yes,Yes,Yes,I don't know,Yes,Very easy,No,FALSE,8,8,3,28,F,United States of America
2017,TRUE,No,N/A,No,No,Yes,Somewhat difficult,Yes,TRUE,5,5,3,27,M,South Africa
2017,TRUE,No,No,Yes,Yes,Yes,Somewhat easy,Maybe,FALSE,6,8,3,22,M,India
2017,TRUE,I don't know,No,No,Yes,Yes,Very easy,No,FALSE,8,5,5,24,F,Romania
2017,TRUE,No,N/A,No,I don't know,I don't know,I don't know,No,FALSE,2,1,2,26,F,United Kingdom
2017,TRUE,I don't know,No,No,No,I don't know,Somewhat easy,Maybe,TRUE,1,7,3,24,M,United States of America
2017,TRUE,I don't know,No,No,No,I don't know,I don't know,No,TRUE,5,3,2,54,M,United States of America
2017,FALSE,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,Yes,TRUE,7,5,2,47,M,United States of America
2017,TRUE,No,N/A,No,No,I don't know,Very easy,Yes,TRUE,8,5,3,33,M,Sweden
2017,TRUE,Yes,Yes,No,No,Yes,Somewhat easy,Yes,TRUE,6,3,2,30,NB,United States of America
2017,FALSE,Yes,Yes,No,I don't know,I don't know,I don't know,No,FALSE,5,5,3,48,M,United States of America
2017,TRUE,I don't know,No,I don't know,Yes,Yes,Somewhat easy,Yes,TRUE,6,3,3,35,M,United States of America
2017,FALSE,I don't know,No,No,I don't know,I don't know,Somewhat easy,Yes,FALSE,5,5,2,34,M,United States of America
2017,TRUE,Yes,Yes,No,No,Yes,Somewhat easy,Maybe,FALSE,8,7,3,25,M,United States of America
2017,TRUE,No,No,No,No,I don't know,Somewhat easy,No,FALSE,5,5,2,48,M,Spain
2017,FALSE,Yes,No,Yes,I don't know,I don't know,I don't know,Maybe,FALSE,7,5,3,34,M,United States of America
2017,TRUE,Yes,Yes,No,No,I don't know,Difficult,No,FALSE,2,1,1,42,M,United States of America
2017,TRUE,I don't know,No,No,No,I don't know,Very easy,Maybe,FALSE,5,5,2,27,M,United States of America
2017,TRUE,Yes,Yes,No,No,Yes,Somewhat difficult,Yes,TRUE,8,5,3,33,F,United States of America
2017,TRUE,Yes,Yes,No,I don't know,I don't know,Very easy,Maybe,FALSE,5,4,3,27,F,United States of America
2017,TRUE,Yes,No,No,No,I don't know,I don't know,No,FALSE,4,3,1,48,M,United States of America
2017,TRUE,Yes,Yes,No,No,Yes,Somewhat easy,Maybe,TRUE,5,3,2,32,F,United States of America
2017,TRUE,Yes,No,Yes,I don't know,I don't know,Somewhat difficult,Maybe,TRUE,7,6,2,29,M,United States of America
2017,TRUE,I don't know,No,No,No,I don't know,Neither easy nor difficult,Yes,FALSE,7,7,4,23,F,Canada
2017,FALSE,Yes,No,I don't know,Yes,Yes,Somewhat difficult,Maybe,FALSE,7,7,3,50,F,United States of America
2017,TRUE,No,No,No,No,I don't know,I don't know,No,FALSE,6,5,3,29,F,Hungary
2017,FALSE,Yes,No,I don't know,I don't know,I don't know,Very easy,Maybe,FALSE,9,7,3,42,F,United States of America
2017,TRUE,I don't know,No,No,I don't know,I don't know,Very easy,Maybe,FALSE,9,5,3,22,M,United States of America
2017,TRUE,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,Yes,FALSE,10,10,3,39,F,United States of America
2017,TRUE,Yes,No,No,No,I don't know,Somewhat difficult,Yes,FALSE,5,5,2,29,F,Canada
2017,FALSE,Not eligible for coverage / NA,N/A,Yes,Yes,I don't know,I don't know,Maybe,FALSE,8,8,3,36,F,United Kingdom
2017,TRUE,I don't know,No,No,No,I don't know,Somewhat easy,No,TRUE,4,4,1,30,F,Croatia
2017,TRUE,No,N/A,No,No,I don't know,Very easy,Yes,TRUE,6,3,2,31,M,South Africa
2017,TRUE,Yes,Yes,No,No,I don't know,I don't know,Yes,FALSE,2,2,4,28,M,United States of America
2017,FALSE,Yes,Yes,No,Yes,I don't know,Very easy,Yes,FALSE,7,5,4,28,M,United States of America
2017,FALSE,I don't know,Yes,No,I don't know,I don't know,Difficult,No,FALSE,8,1,1,25,F,United States of America
2017,TRUE,I don't know,No,No,No,I don't know,Somewhat easy,Yes,FALSE,5,5,3,30,M,Bulgaria
2017,TRUE,I don't know,No,No,No,Yes,Neither easy nor difficult,Yes,FALSE,7,5,3,31,M,Italy
2017,TRUE,No,No,No,No,Yes,Very easy,No,FALSE,7,0,1,36,M,Romania
2017,TRUE,I don't know,No,No,No,Yes,Neither easy nor difficult,Yes,TRUE,7,7,3,37,M,Argentina
2017,TRUE,Yes,Yes,No,I don't know,Yes,Somewhat easy,Yes,TRUE,7,7,3,37,M,United States of America
2017,TRUE,Not eligible for coverage / NA,Yes,No,No,Yes,Somewhat easy,Maybe,TRUE,0,2,1,37,M,Spain
2017,TRUE,No,N/A,No,No,I don't know,Very easy,No,FALSE,3,3,1,37,M,Bulgaria
2017,TRUE,I don't know,No,No,No,I don't know,Somewhat difficult,No,FALSE,6,5,2,33,M,Austria
2017,TRUE,Yes,No,No,No,I don't know,Very easy,No,FALSE,7,4,5,47,F,United States of America
2017,TRUE,I don't know,No,Yes,Yes,I don't know,Somewhat easy,Maybe,FALSE,7,9,4,24,F,United States of America
2017,TRUE,Yes,Yes,No,I don't know,I don't know,I don't know,Maybe,TRUE,7,3,2,26,M,United States of America
2017,TRUE,Yes,Yes,Yes,Yes,Yes,Very easy,Maybe,FALSE,5,5,2,37,M,Australia
2017,TRUE,Yes,Yes,Yes,No,No,Neither easy nor difficult,No,TRUE,7,4,2,29,M,United States of America
2017,TRUE,I don't know,No,No,No,I don't know,Somewhat difficult,Yes,TRUE,8,5,1,33,F,United States of America
2017,TRUE,Yes,No,Yes,Yes,I don't know,Somewhat easy,No,FALSE,8,8,1,44,M,United States of America
2017,TRUE,Yes,Yes,Yes,Yes,I don't know,Neither easy nor difficult,Yes,FALSE,8,6,2,34,F,United States of America
2017,TRUE,Yes,No,Yes,No,I don't know,I don't know,No,FALSE,6,4,4,35,M,United States of America
2017,TRUE,Yes,Yes,No,I don't know,I don't know,Very easy,Yes,TRUE,7,7,3,32,NB,United States of America
2017,TRUE,Yes,No,No,Yes,I don't know,I don't know,Yes,TRUE,3,2,2,31,M,United States of America
2017,TRUE,Yes,Yes,No,No,Yes,Neither easy nor difficult,Yes,FALSE,6,6,2,30,M,United States of America
2017,TRUE,I don't know,No,No,Yes,I don't know,Somewhat difficult,No,FALSE,8,3,2,26,F,United States of America
2017,FALSE,Yes,Yes,No,No,I don't know,Somewhat easy,Maybe,FALSE,3,1,3,29,F,Germany
2017,FALSE,Yes,Yes,No,Yes,I don't know,Somewhat easy,Maybe,FALSE,7,5,2,35,M,United States of America
2017,TRUE,I don't know,No,I don't know,I don't know,I don't know,Somewhat easy,Maybe,FALSE,8,3,1,26,NB,United States of America
2017,TRUE,I don't know,No,No,I don't know,I don't know,Neither easy nor difficult,Yes,FALSE,6,6,3,30,M,United States of America
2017,FALSE,Yes,Yes,No,No,Yes,Very easy,Yes,FALSE,9,5,3,39,M,United States of America
2017,TRUE,No,N/A,No,I don't know,Yes,Neither easy nor difficult,Yes,FALSE,9,8,4,29,M,Spain
2017,TRUE,No,N/A,No,No,I don't know,I don't know,Yes,FALSE,3,0,2,27,M,Spain
2017,TRUE,No,N/A,No,No,I don't know,I don't know,Maybe,FALSE,0,5,3,29,M,Spain
2017,TRUE,No,N/A,No,No,I don't know,Neither easy nor difficult,Yes,FALSE,4,4,3,43,M,Spain
2017,TRUE,No,No,No,No,I don't know,Somewhat easy,Yes,FALSE,6,5,3,31,M,Spain
2017,TRUE,No,No,No,No,No,Neither easy nor difficult,Yes,FALSE,7,8,3,27,F,Spain
2017,TRUE,Yes,No,No,Yes,I don't know,Somewhat easy,Yes,TRUE,5,7,2,36,M,Netherlands
2017,TRUE,Yes,Yes,Yes,Yes,Yes,Very easy,Yes,TRUE,7,6,2,44,F ,United States of America
2017,TRUE,Yes,Yes,Yes,Yes,Yes,Very easy,Yes,FALSE,8,8,2,44,M,United States of America
2017,TRUE,Yes,Yes,No,Yes,Yes,Very easy,Yes,TRUE,10,10,3,27,F,United States of America
2017,TRUE,Yes,Yes,Yes,Yes,Yes,Very easy,Yes,TRUE,8,7,3,42,F,United States of America
2017,TRUE,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,Yes,TRUE,7,7,4,28,M,United States of America
2017,FALSE,Yes,Yes,Yes,Yes,Yes,Very easy,Maybe,FALSE,8,7,2,43,M,United States of America
2017,TRUE,Yes,Yes,Yes,Yes,No,Very easy,No,TRUE,9,5,1,49,F,United States of America
2017,TRUE,I don't know,No,No,No,I don't know,Neither easy nor difficult,Maybe,FALSE,5,5,2,32,M,France
2017,TRUE,I don't know,No,No,I don't know,I don't know,I don't know,Maybe,FALSE,2,2,3,33,M,United States of America
2017,TRUE,No,Yes,No,No,I don't know,Neither easy nor difficult,No,FALSE,7,4,2,45,M,United States of America
2017,TRUE,I don't know,No,No,I don't know,I don't know,Difficult,No,FALSE,7,5,2,25,F,United States of America
2017,TRUE,Yes,Yes,No,I don't know,I don't know,Difficult,Maybe,FALSE,4,2,1,42,M,United States of America
2017,TRUE,Yes,No,No,No,I don't know,Neither easy nor difficult,No,FALSE,1,0,3,25,M,United States of America
2017,TRUE,Yes,No,No,I don't know,I don't know,Difficult,Maybe,TRUE,6,2,2,25,F,United States of America
2017,TRUE,Yes,Yes,Yes,Yes,I don't know,I don't know,Maybe,FALSE,7,5,4,31,F,United States of America
2017,FALSE,Yes,Yes,Yes,No,I don't know,I don't know,No,FALSE,8,6,3,22,F,United States of America
2017,TRUE,No,No,No,No,No,Difficult,Yes,FALSE,5,5,3,40,M,India
2017,TRUE,I don't know,No,No,No,I don't know,Neither easy nor difficult,Maybe,FALSE,10,8,2,28,M,United States of America
2017,TRUE,I don't know,No,No,I don't know,I don't know,Somewhat easy,Yes,FALSE,2,2,4,37,M,United States of America
2017,TRUE,Yes,No,No,No,I don't know,Difficult,No,FALSE,9,1,1,35,M,Canada
2017,TRUE,I don't know,No,No,No,I don't know,Somewhat difficult,Maybe,FALSE,7,4,3,20,M,United Kingdom
2017,TRUE,Yes,No,No,No,No,Very easy,No,FALSE,10,7,4,27,F,Spain
2017,FALSE,Yes,Yes,Yes,Yes,Yes,Somewhat difficult,No,TRUE,9,5,3,62,F,United States of America
2017,TRUE,I don't know,No,No,I don't know,I don't know,Neither easy nor difficult,Maybe,TRUE,8,3,3,29,M,Germany
2017,TRUE,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,FALSE,7,7,3,37,M,United Kingdom
2017,TRUE,Yes,No,No,I don't know,I don't know,Somewhat difficult,Maybe,TRUE,5,3,3,51,M,United States of America
2017,FALSE,Yes,Yes,Yes,Yes,Yes,I don't know,Yes,FALSE,8,8,2,60,M,United States of America
2017,TRUE,Yes,No,No,I don't know,Yes,Somewhat easy,Maybe,FALSE,10,7,3,36,F,United States of America
2017,TRUE,I don't know,No,I don't know,I don't know,I don't know,Neither easy nor difficult,Yes,TRUE,7,7,2,38,M,United States of America
2017,TRUE,I don't know,No,Yes,Yes,I don't know,Neither easy nor difficult,Yes,FALSE,8,8,3,30,F,Mexico
2017,TRUE,I don't know,No,Yes,Yes,I don't know,Very easy,Yes,TRUE,5,5,3,35,M,United Kingdom
2017,TRUE,Yes,Yes,Yes,Yes,Yes,Very easy,Yes,TRUE,9,10,3,41,M,United Kingdom
2017,FALSE,I don't know,No,No,No,I don't know,I don't know,Maybe,FALSE,8,7,2,27,M,United States of America
2017,FALSE,No,No,No,No,Yes,Neither easy nor difficult,Yes,FALSE,5,6,1,53,M,Swaziland
2017,FALSE,Yes,No,No,No,I don't know,Somewhat difficult,No,FALSE,3,2,3,42,F,United States of America
2017,FALSE,No,Yes,No,No,I don't know,Neither easy nor difficult,Yes,FALSE,3,3,3,33,M,Germany
2017,TRUE,Yes,Yes,No,Yes,Yes,Somewhat easy,No,TRUE,6,5,3,25,NB,United States of America
2017,TRUE,I don't know,No,No,I don't know,Yes,Very easy,Yes,TRUE,6,5,3,40,M,United States of America
2017,FALSE,Yes,Yes,No,Yes,Yes,Very easy,Yes,FALSE,10,5,3,25,NB,United States of America
2017,TRUE,I don't know,No,No,No,I don't know,I don't know,No,FALSE,6,3,3,49,F,United States of America
2017,TRUE,No,N/A,No,No,No,Difficult,No,FALSE,3,0,1,44,F,United States of America
2017,TRUE,I don't know,No,No,No,I don't know,Difficult,No,FALSE,6,6,3,30,M,United States of America
2017,TRUE,Yes,No,I don't know,I don't know,I don't know,I don't know,Maybe,FALSE,5,6,2,28,M,United States of America
2017,TRUE,Yes,Yes,I don't know,I don't know,I don't know,I don't know,Maybe,FALSE,7,5,3,26,M,United States of America
2017,TRUE,Yes,No,Yes,Yes,Yes,Somewhat easy,Yes,TRUE,7,7,2,31,M,United States of America
2017,TRUE,Yes,No,No,No,No,Very easy,Yes,TRUE,4,6,1,32,M,United States of America
2017,TRUE,I don't know,No,I don't know,I don't know,I don't know,Very easy,Maybe,FALSE,5,5,4,24,M,United States of America
2017,TRUE,I don't know,No,No,I don't know,I don't know,Somewhat difficult,Yes,TRUE,5,5,2,34,M,United States of America
2017,TRUE,Yes,Yes,No,I don't know,Yes,Very easy,Yes,TRUE,7,4,3,31,F,United States of America
2017,TRUE,Yes,Yes,Yes,Yes,I don't know,Very easy,Yes,TRUE,9,5,3,47,M,United States of America
2017,TRUE,Yes,No,No,I don't know,Yes,Neither easy nor difficult,Maybe,FALSE,8,6,2,59,M,United States of America
2017,TRUE,I don't know,No,I don't know,No,I don't know,Somewhat easy,Yes,TRUE,6,5,1,44,M,United States of America
2017,TRUE,No,No,No,No,I don't know,Neither easy nor difficult,No,FALSE,3,2,3,26,M,United States of America
2017,TRUE,I don't know,No,Yes,No,Yes,Neither easy nor difficult,Yes,TRUE,5,8,3,43,M,United States of America
2017,TRUE,I don't know,No,No,No,No,Somewhat difficult,No,TRUE,5,3,2,22,M,Germany
2017,TRUE,Not eligible for coverage / NA,N/A,No,No,No,Very easy,Yes,TRUE,7,7,3,24,M,Netherlands
2017,TRUE,I don't know,No,No,I don't know,I don't know,Somewhat easy,No,FALSE,8,5,3,35,M,United States of America
2017,TRUE,I don't know,No,No,No,No,I don't know,Yes,FALSE,8,5,3,40,M,United States of America
2017,FALSE,I don't know,No,No,No,Yes,Somewhat easy,Yes,FALSE,5,4,2,30,M,United States of America
2017,FALSE,Yes,Yes,I don't know,I don't know,Yes,Very easy,Maybe,FALSE,9,5,3,37,M,United States of America
2017,TRUE,No,No,No,No,I don't know,Somewhat easy,Yes,TRUE,4,7,3,27,M,United States of America
