Year,Tech company?,Employer provide mental health benefits?,Know options for mental health care?,Employer discussed mental health?,Employer offer mental health resources?,Anonymity if you  take advantage of mental health resources?,Easy/difficult to ask for mental health medical leave?,Comfortable discussing mental health with supervisor?,Discussed your mental health with your employer?,Employer importance placed on physical health?,Employer importance placed on mental health?,Tech industry supports employees with mental health issues?,Age,Gender,Country
2019,TRUE,I don't know,Yes,No,No,Yes,Somewhat difficult,Maybe,FALSE,7,5,2,36,NB,United Kingdom
2019,TRUE,No,No,No,No,No,Somewhat difficult,Yes,FALSE,0,0,3,24,M,Ghana
2019,TRUE,Yes,No,No,Yes,I don't know,I don't know,No,FALSE,5,4,2,55,M,United States of America
2019,TRUE,Yes,Yes,No,I don't know,Yes,Neither easy nor difficult,Yes,TRUE,4,6,3,32,M,Norway
2019,TRUE,Yes,Yes,Yes,Yes,Yes,Somewhat difficult,Yes,TRUE,10,5,3,33,M,United States of America
2019,TRUE,Yes,Yes,No,No,I don't know,I don't know,Maybe,TRUE,7,5,4,30,F,Portugal
2019,TRUE,Yes,No,No,I don't know,Yes,Very easy,Yes,FALSE,9,9,4,30,M,Portugal
2019,TRUE,Yes,Yes,Yes,No,I don't know,I don't know,Maybe,FALSE,7,7,3,34,M,Portugal
2019,TRUE,No,No,No,No,I don't know,Very easy,Yes,FALSE,8,7,3,36,F,Portugal
2019,TRUE,No,N/A,No,No,I don't know,Somewhat easy,Maybe,FALSE,8,5,2,30,M,Portugal
2019,TRUE,No,N/A,Yes,No,No,I don't know,No,FALSE,9,8,2,29,M,Portugal
2019,TRUE,No,No,No,No,No,Somewhat easy,Yes,FALSE,6,3,3,34,M,Portugal
2019,TRUE,No,Yes,No,No,No,Very easy,Yes,TRUE,3,3,3,40,M,Portugal
2019,TRUE,Not eligible for coverage / NA,N/A,No,No,I don't know,I don't know,No,FALSE,8,5,3,31,NB,Portugal
2019,TRUE,I don't know,No,No,I don't know,Yes,I don't know,Maybe,FALSE,9,8,4,27,M ,Portugal
2019,FALSE,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Yes,FALSE,6,7,4,47,M,United States of America
2019,FALSE,Yes,Yes,No,Yes,Yes,Difficult,Maybe,FALSE,6,4,3,24,F,United States of America
2019,TRUE,Yes,Yes,No,No,Yes,Somewhat easy,Yes,FALSE,7,3,1,36,M,Portugal
2019,TRUE,I don't know,No,No,I don't know,I don't know,Neither easy nor difficult,Maybe,FALSE,8,5,2,28,M,Portugal
2019,TRUE,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,Maybe,TRUE,5,7,2,34,M,United Kingdom
2019,TRUE,I don't know,No,No,No,I don't know,Somewhat easy,Yes,FALSE,5,5,2,28,M,Portugal
2019,TRUE,Yes,Yes,No,No,I don't know,I don't know,No,FALSE,7,4,2,36,M,Portugal
2019,TRUE,Yes,Yes,I don't know,No,Yes,Somewhat easy,Yes,FALSE,10,8,4,24,M,Portugal
2019,TRUE,Yes,Yes,No,No,Yes,I don't know,Maybe,FALSE,5,5,4,32,M,United States of America
2019,FALSE,No,No,Yes,No,Yes,Very easy,Maybe,FALSE,5,3,2,33,M,United Kingdom
2019,TRUE,I don't know,No,I don't know,I don't know,I don't know,Somewhat easy,Maybe,FALSE,6,5,3,39,M,United States of America
2019,FALSE,Yes,Yes,No,Yes,I don't know,I don't know,No,FALSE,7,5,3,26,F,United States of America
2019,TRUE,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,Maybe,FALSE,7,7,3,32,F,United States of America
2019,TRUE,Yes,No,Yes,Yes,Yes,Somewhat easy,Yes,FALSE,7,7,3,42,M,United Kingdom
2019,TRUE,Yes,Yes,No,Yes,I don't know,I don't know,No,FALSE,10,8,2,41,M,United States of America
2019,TRUE,Yes,Yes,Yes,No,I don't know,Somewhat difficult,No,FALSE,8,4,2,32,M,Canada
2019,FALSE,No,Yes,No,Yes,I don't know,I don't know,No,FALSE,3,3,1,32,F,United States of America
2019,TRUE,Yes,No,I don't know,Yes,I don't know,Very easy,Yes,FALSE,7,8,3,31,F,United States of America
2019,TRUE,Not eligible for coverage / NA,N/A,No,No,I don't know,Somewhat easy,Maybe,FALSE,8,7,3,34,NB,Switzerland
